"","x"
"1120",6937.2294227003
"1121",5481.01662220352
"1122",5769.81150017172
"1123",3369.43086293235
"1124",3866.5299564387
"1125",2389.20964252145
"1126",3080.03974390996
"1127",7969.93553276558
"1128",5914.87207718357
"1129",2609.31254967483
"1130",5148.49437974277
"1131",2709.65837645152
"1132",2881.5849067638
"1133",2980.30296996876
"1134",4365.65140420239
"1135",2807.93391155283
"1136",1983.93413788837
"1137",7889.68292351265
"1138",6618.04096596787
"1139",2692.09339076898
"1140",2560.3685361403
"1141",7264.46425765194
"1142",5943.41918817803
"1143",8005.2205532334
"1144",7296.17602769821
"1145",7738.69957133551
"1146",2151.15278092248
"1147",5399.31683395279
"1148",8411.43463673454
"1149",5930.51383700821
"1150",3339.65631715878
"1151",2232.05545216694
"1152",2713.92439417576
"1153",10044.9612525644
"1154",6796.03933633846
"1155",9929.25573755143
"1156",5899.77635262051
"1157",5814.79845782393
"1158",8833.7341667366
"1159",9976.3837209121
"1160",987.883570423
"1161",2997.28632800112
"1162",6114.02960025094
"1163",2667.37487997924
"1164",4497.70097662165
"1165",4844.92216658714
"1166",6141.78334209439
"1167",4293.38958936982
"1168",5327.67469481169
"1169",7595.44562935323
"1170",7582.81036870612
"1171",7738.56923944672
"1172",4626.55297909107
"1173",7356.07269366569
"1174",5902.06093702017
"1175",6656.46722118644
"1176",6629.13780246605
"1177",4490.88012197817
"1178",6489.69740242837
"1179",5200.57189126505
"1180",2364.29422315251
"1181",6619.42544554727
"1182",4676.17539804312
"1183",10695.1873869302
"1184",7066.29624799889
"1185",6881.6070774548
"1186",6300.59532989719
"1187",3440.35549834964
"1188",7719.91728692391
"1189",5334.36365919898
"1190",4735.79708508885
"1191",6576.28346511332
"1192",3285.80477702257
"1193",9837.67760385771
"1194",10363.915128372
"1195",3392.95019669319
"1196",8391.94094362785
"1197",5378.9686959681
"1198",3640.4951648399
"1199",1140.5152340635
"1200",4971.66226818884
"1201",6985.97442587494
"1202",10592.8624436738
"1203",6085.36042288295
"1204",4757.4260194219
"1205",7021.13819886855
"1206",4117.89157320402
"1207",6746.93332373386
"1208",4143.79312195192
"1209",4412.51055957749
"1210",2772.65124656394
"1211",6745.46888198727
"1212",4039.99222801276
"1213",3716.42599037621
"1214",3420.15238787705
"1215",6782.53140283143
"1216",5002.44109484833
"1217",3416.83233419852
"1218",5581.45175338606
"1219",8976.88885069941
"1220",9917.04334935785
"1221",6005.612271127
"1222",4982.76405417011
"1223",10242.605357799
"1224",7306.75336781517
"1225",5732.64811990614
"1226",13745.4896979052
"1227",3269.39551600209
"1228",4531.99659184564
"1229",4953.26656075072
"1230",6948.02892669436
"1231",3502.94655280485
"1232",4804.39130906615
"1233",4339.88606626965
"1234",3451.00768842601
"1235",2325.72002724872
"1236",3911.01145514695
"1237",7101.6030091297
"1238",3369.05443942896
"1239",2613.81668475794
"1240",5060.00293184345
"1241",4206.46792865498
"1242",7173.0108364175
"1243",4346.20663425216
"1244",8401.80106588942
"1245",5127.87447319145
"1246",6673.22022883495
"1247",5990.19703698315
"1248",3614.32714794646
"1249",2216.61306416249
